point_a,point_b,distance,max_speed,road_condition,traffic_condition,date,departure_time,vehicle_type,driver_age,travel_time
"1 Infinite Loop, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,73.33,2,0,2023-11-06,23:47,Semi-truck,18,1.29
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,77.4,2,0,2023-07-30,23:38,SUV,20,6.14
"1 Microsoft Way, Redmond, WA","701 5th Ave, Seattle, WA",16,71.3,0,1,2023-09-20,05:26,Motorcycle,26,0.45
"500 Terry A Francois Blvd, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,68.42,2,0,2023-03-27,01:58,Car/Trailer,23,2.34
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,75.1,2,2,2023-04-17,11:00,Motorcycle,21,13.56
"1211 Avenue of the Americas, New York, NY","350 5th Ave, New York, NY",226,76.25,2,1,2023-02-17,22:25,Semi-truck,38,4.53
"1 Times Square, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,74.28,1,0,2023-10-10,06:58,Semi-truck,59,4.32
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,64.7,2,0,2023-09-27,20:13,Truck,52,4.26
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,68.8,3,2,2023-07-09,21:47,SUV,56,5.08
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,71.8,3,2,2023-05-28,00:26,Truck,44,16.99
"1 Googleplex, Mountain View, CA","1 Apple Park Way, Cupertino, CA",43,77.26,3,2,2023-09-18,17:57,Motorcycle,28,1.69
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,68.93,1,0,2023-06-30,18:29,Truck,50,16.14
"333 Bush St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,74.32,1,1,2023-12-11,21:31,Semi-truck,48,3.67
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,73.08,1,0,2023-06-23,16:34,SUV,44,10.52
"701 5th Ave, Seattle, WA","233 S Wacker Dr, Chicago, IL",2065,66.86,2,1,2023-05-17,23:21,Car/Trailer,19,38.42
"721 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2887,77.13,0,2,2023-01-04,03:36,Motorcycle,54,49.81
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,68.81,1,0,2023-11-13,21:10,SUV,27,15.14
"120 Broadway, New York, NY","1 Infinite Loop, Cupertino, CA",2891,71.97,0,2,2023-09-26,13:05,Truck,66,54.13
"1 Infinite Loop, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,69.94,2,1,2023-09-16,19:32,Motorcycle,68,0.82
"30 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,70.24,0,2,2023-10-31,08:17,Car/Trailer,66,5.58
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,70.87,0,1,2023-05-01,21:28,Motorcycle,54,4.77
"401 N Michigan Ave, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2142,74.84,2,1,2023-07-24,19:24,SUV,65,37.89
"1 Googleplex, Mountain View, CA","233 S Wacker Dr, Chicago, IL",2141,74.7,1,2,2023-10-31,03:45,Truck,58,38.59
"721 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",226,70.18,3,2,2023-10-19,03:07,Sedan,24,4.03
"1 Hacker Way, Menlo Park, CA","350 5th Ave, New York, NY",2885,69.11,1,1,2023-12-25,20:52,SUV,23,53.06
"100 Universal City Plaza, Universal City, CA","1 Infinite Loop, Cupertino, CA",343,66.75,2,0,2023-09-02,03:34,Truck,27,7.52
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,76.24,1,1,2023-01-11,00:09,Semi-truck,39,7.13
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,71.91,1,1,2023-03-19,17:11,Truck,24,4.95
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,69.81,3,2,2023-02-05,14:05,Truck,43,4.57
"701 5th Ave, Seattle, WA","233 S Wacker Dr, Chicago, IL",2065,73.64,0,2,2023-08-08,22:32,Car/Trailer,62,36.57
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,75.08,0,0,2023-07-05,17:52,SUV,51,6.26
"2755 Station Club Dr, Suwanee, GA","350 5th Ave, New York, NY",754,72.32,3,1,2023-09-12,05:00,Motorcycle,47,14.29
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,75.92,1,2,2023-07-04,11:46,Semi-truck,45,4.42
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,69.29,1,0,2023-04-20,19:25,Semi-truck,19,54.41
"1500 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,72.52,1,2,2023-08-11,20:14,Truck,41,5.49
"1211 Avenue of the Americas, New York, NY","350 5th Ave, New York, NY",226,64.05,2,1,2023-01-06,08:57,SUV,66,5.03
"1 Times Square, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,66.89,1,2,2023-11-08,06:48,Car/Trailer,23,5.44
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,65.45,2,0,2023-04-12,19:38,SUV,20,5.93
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,66.21,3,0,2023-04-10,13:32,Sedan,34,16.03
"1211 Avenue of the Americas, New York, NY","350 5th Ave, New York, NY",226,68.44,0,2,2023-10-28,05:05,Sedan,55,4.1
"1 Apple Park Way, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,71.82,3,0,2023-11-19,08:16,SUV,30,1.16
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,72.29,3,2,2023-03-13,22:51,Sedan,21,5.1
"4 Pennsylvania Plaza, New York, NY","1500 Sugar Bowl Dr, New Orleans, LA",1193,69.2,3,2,2023-02-10,23:28,Semi-truck,19,21.54
"1211 Avenue of the Americas, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,66.38,3,2,2023-02-09,00:00,Car/Trailer,68,4.81
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,77.85,2,2,2023-05-09,23:55,Semi-truck,65,7.55
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,68.87,0,1,2023-09-26,17:50,Motorcycle,67,10.32
"405 Lexington Ave, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,77.33,0,1,2023-09-13,08:46,SUV,49,5.78
"333 Bush St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,65.57,3,1,2023-02-08,06:47,Semi-truck,36,2.62
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,69.54,2,0,2023-04-14,05:42,Motorcycle,37,5.05
"1 Hacker Way, Menlo Park, CA","1600 Amphitheatre Parkway, Mountain View, CA",128,74.59,0,0,2023-04-13,10:34,Semi-truck,35,3.7
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,67.46,3,2,2023-04-25,03:39,Truck,62,39.11
"721 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",226,73.55,3,0,2023-11-29,18:09,Motorcycle,20,5.03
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,75.32,0,1,2023-08-06,20:07,Sedan,39,14.56
"1 Franklin Pkwy, San Mateo, CA","1 Infinite Loop, Cupertino, CA",128,69.4,3,0,2023-04-09,07:38,Car/Trailer,53,2.9
"405 Lexington Ave, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,74.02,1,2,2023-05-19,06:03,Sedan,67,4.34
"1 Market St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,74.42,2,2,2023-03-23,10:59,Car/Trailer,41,4.11
"45 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,68.98,1,2,2023-05-29,17:31,Motorcycle,18,4.29
"1600 Amphitheatre Parkway, Mountain View, CA","1 Infinite Loop, Cupertino, CA",43,68.82,1,2,2023-01-12,10:46,SUV,30,1.78
"721 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2887,67.18,3,0,2023-05-26,10:16,Truck,66,52.37
"1 Microsoft Way, Redmond, WA","701 5th Ave, Seattle, WA",16,72.43,3,2,2023-03-08,10:22,SUV,21,0.5
"1 Hacker Way, Menlo Park, CA","1600 Amphitheatre Parkway, Mountain View, CA",128,68.82,2,0,2023-10-04,12:54,Motorcycle,48,2.66
"1 Times Square, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,75.88,1,0,2023-01-13,10:54,Sedan,66,4.8
"30 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,75.35,1,0,2023-09-23,15:54,SUV,18,4.31
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,73.1,0,0,2023-12-08,04:39,Car/Trailer,32,4.27
"1 Hacker Way, Menlo Park, CA","1600 Amphitheatre Parkway, Mountain View, CA",128,71.14,1,1,2023-03-22,23:15,Sedan,33,2.75
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,64.81,0,0,2023-10-28,15:18,Semi-truck,60,8.27
"1 Hacker Way, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,70.84,1,1,2023-08-23,00:21,Motorcycle,30,2.89
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,68.16,2,1,2023-12-18,02:04,Truck,58,15.18
"405 Lexington Ave, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,65.82,3,0,2023-07-29,01:52,Motorcycle,47,4.79
"1601 Willow Rd, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,70.84,1,1,2023-08-20,07:18,Motorcycle,27,3.23
"11 Wall St, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,78.03,0,1,2023-09-22,08:26,Truck,55,4.72
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,68.91,2,0,2023-10-09,09:28,Car/Trailer,55,10.3
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,73.82,1,0,2023-12-18,06:24,Motorcycle,61,15.39
"1500 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,70.66,2,0,2023-07-25,02:54,SUV,47,5.39
"1 Hacker Way, Menlo Park, CA","1600 Amphitheatre Parkway, Mountain View, CA",128,74.01,2,0,2023-08-04,19:40,Truck,56,3.53
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,68.44,1,1,2023-04-26,17:16,Semi-truck,45,15.55
"1500 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,74.25,3,1,2023-02-19,05:42,SUV,19,4.79
"1211 Avenue of the Americas, New York, NY","350 5th Ave, New York, NY",226,67.12,3,2,2023-03-07,02:22,Truck,52,5.99
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,68.8,3,0,2023-09-12,09:15,Motorcycle,23,6.19
"1 Hacker Way, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,74.45,3,1,2023-09-06,21:09,SUV,59,3.36
"30 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,67.73,2,0,2023-06-16,23:21,Truck,35,4.44
"742 Evergreen Terrace, Springfield, IL","1600 Amphitheatre Parkway, Mountain View, CA",2171,66.11,2,0,2023-05-10,08:00,Semi-truck,48,40.01
"1 Microsoft Way, Redmond, WA","701 5th Ave, Seattle, WA",16,72.0,1,0,2023-06-04,15:32,Car/Trailer,48,0.92
"1500 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,70.83,1,2,2023-05-16,19:43,Sedan,21,5.8
"1 Apple Park Way, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,68.64,3,2,2023-06-12,03:19,SUV,58,2.26
"45 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,73.68,3,0,2023-08-16,04:32,Motorcycle,65,4.91
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,65.65,2,0,2023-09-17,21:20,Car/Trailer,66,58.02
"350 5th Ave, New York, NY","1 Infinite Loop, Cupertino, CA",2907,70.97,3,1,2023-02-06,19:10,SUV,49,51.35
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,74.04,1,0,2023-03-14,07:07,Semi-truck,18,7.29
"1601 Willow Rd, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,69.15,1,1,2023-11-22,07:11,Sedan,69,2.2
"1 Hacker Way, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,73.04,2,0,2023-10-10,08:32,Semi-truck,61,2.32
"100 Universal City Plaza, Universal City, CA","1 Infinite Loop, Cupertino, CA",343,67.67,1,2,2023-06-21,22:40,Truck,29,6.54
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,71.48,3,2,2023-09-08,23:48,Motorcycle,59,40.32
"1 Infinite Loop, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,69.96,1,1,2023-12-11,13:01,Sedan,23,1.98
"11 Wall St, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,67.59,3,0,2023-06-21,07:56,Semi-truck,55,5.59
"1500 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,69.64,0,2,2023-01-12,02:55,SUV,63,4.67
"701 5th Ave, Seattle, WA","233 S Wacker Dr, Chicago, IL",2065,69.65,0,2,2023-02-20,18:29,Semi-truck,19,36.75
"401 N Michigan Ave, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2142,71.43,2,1,2023-10-12,05:58,SUV,18,41.7
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,74.22,0,0,2023-02-23,06:04,Motorcycle,66,7.47
"1 Googleplex, Mountain View, CA","233 S Wacker Dr, Chicago, IL",2141,75.09,3,0,2023-11-26,13:10,Sedan,66,38.06
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,74.01,0,1,2023-03-09,18:12,Motorcycle,18,6.71
"1600 Pennsylvania Ave NW, Washington, DC","350 5th Ave, New York, NY",226,68.07,0,2,2023-06-16,03:21,Motorcycle,23,4.7
"1211 Avenue of the Americas, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,77.81,2,1,2023-11-29,05:30,Truck,35,4.77
"1 Infinite Loop, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,67.76,3,2,2023-07-28,11:14,Truck,39,2.26
"2755 Station Club Dr, Suwanee, GA","350 5th Ave, New York, NY",754,72.47,1,2,2023-09-05,04:53,Truck,51,13.9
"1600 Pennsylvania Ave NW, Washington, DC","350 5th Ave, New York, NY",226,67.02,1,0,2023-09-11,07:42,SUV,27,4.48
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,74.09,0,0,2023-03-20,03:06,SUV,25,50.17
"120 Broadway, New York, NY","1 Infinite Loop, Cupertino, CA",2891,71.07,0,2,2023-06-08,21:53,Truck,39,49.72
"405 Lexington Ave, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,67.28,1,1,2023-04-30,09:52,Car/Trailer,31,4.95
"401 N Michigan Ave, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2142,69.28,1,2,2023-04-13,03:07,SUV,28,40.28
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,70.63,2,1,2023-03-04,13:14,Semi-truck,20,16.48
"100 Universal City Plaza, Universal City, CA","1 Infinite Loop, Cupertino, CA",343,70.38,2,0,2023-03-26,01:15,Truck,33,8.09
"1 Hacker Way, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,77.99,2,0,2023-05-15,22:03,SUV,30,2.54
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,70.19,0,0,2023-06-14,17:55,Semi-truck,69,5.01
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,69.14,0,0,2023-04-09,19:16,Car/Trailer,43,39.58
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,74.61,0,1,2023-05-02,13:57,SUV,66,4.94
"1 Times Square, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,69.2,1,0,2023-10-04,13:43,SUV,49,4.62
"1600 Amphitheatre Parkway, Mountain View, CA","1 Infinite Loop, Cupertino, CA",43,72.5,2,1,2023-12-29,01:22,Motorcycle,67,1.08
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,71.77,0,1,2023-12-04,04:26,Car/Trailer,56,37.57
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,71.36,2,0,2023-04-29,09:58,Car/Trailer,44,48.57
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,66.28,2,1,2023-01-10,06:58,SUV,66,39.94
"350 5th Ave, New York, NY","1 Infinite Loop, Cupertino, CA",2907,72.07,1,2,2023-05-26,02:22,Semi-truck,69,51.36
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,71.53,3,2,2023-02-06,21:46,Sedan,50,36.84
"721 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",226,74.16,0,2,2023-03-27,07:27,Truck,18,4.51
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,71.21,2,0,2023-05-08,19:59,Car/Trailer,42,4.47
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,77.14,1,1,2023-10-16,23:08,Motorcycle,57,14.44
"1211 Avenue of the Americas, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,71.07,0,2,2023-12-27,13:10,Motorcycle,35,4.05
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,72.58,0,0,2023-02-20,21:28,Semi-truck,47,4.58
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,69.7,1,2,2023-07-16,08:23,Semi-truck,66,6.52
"1 Googleplex, Mountain View, CA","233 S Wacker Dr, Chicago, IL",2141,76.66,3,1,2023-04-12,01:12,Sedan,21,37.89
"4 Pennsylvania Plaza, New York, NY","1500 Sugar Bowl Dr, New Orleans, LA",1193,69.64,0,2,2023-09-29,17:58,Car/Trailer,59,22.31
"1 Hacker Way, Menlo Park, CA","1600 Amphitheatre Parkway, Mountain View, CA",128,67.31,0,1,2023-10-23,08:41,Sedan,30,2.95
"1 Googleplex, Mountain View, CA","1 Apple Park Way, Cupertino, CA",43,68.62,3,0,2023-06-15,02:04,Truck,25,1.85
"45 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,72.45,2,1,2023-05-22,01:29,Semi-truck,55,5.32
"401 N Michigan Ave, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2142,76.77,2,2,2023-08-01,10:09,Semi-truck,30,36.24
"30 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,68.53,1,2,2023-10-07,13:17,SUV,34,5.29
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,69.57,2,2,2023-02-27,20:06,Truck,66,50.96
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,71.33,2,0,2023-05-11,17:06,SUV,58,13.32
"1 Infinite Loop, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,70.36,2,2,2023-06-29,14:38,Semi-truck,42,1.78
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,66.46,0,2,2023-06-07,22:52,Motorcycle,25,40.36
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,66.99,0,1,2023-12-13,23:13,Motorcycle,53,50.78
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,69.76,2,0,2023-12-08,20:17,Car/Trailer,56,40.51
"1211 Avenue of the Americas, New York, NY","350 5th Ave, New York, NY",226,71.94,3,2,2023-02-05,19:10,SUV,66,4.85
"500 Terry A Francois Blvd, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,74.75,3,1,2023-04-19,03:04,Semi-truck,31,3.85
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,74.25,3,2,2023-10-14,23:21,Car/Trailer,21,38.4
"1600 Amphitheatre Parkway, Mountain View, CA","1 Infinite Loop, Cupertino, CA",43,74.81,0,1,2023-01-25,17:09,Motorcycle,39,2.12
"701 5th Ave, Seattle, WA","233 S Wacker Dr, Chicago, IL",2065,70.58,0,1,2023-04-24,14:17,Car/Trailer,62,39.79
"1 Hacker Way, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,73.22,3,2,2023-07-25,16:28,Sedan,33,2.63
"2755 Station Club Dr, Suwanee, GA","350 5th Ave, New York, NY",754,73.14,1,2,2023-12-07,07:26,Semi-truck,63,14.32
"1 Hacker Way, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,71.36,1,1,2023-03-28,04:23,SUV,43,3.35
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,71.33,1,2,2023-02-19,03:52,Motorcycle,46,15.34
"401 N Michigan Ave, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2142,77.46,2,2,2023-01-12,12:22,Sedan,23,37.74
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,67.47,1,2,2023-07-22,21:38,Truck,50,17.33
"1 Hacker Way, Menlo Park, CA","350 5th Ave, New York, NY",2885,68.91,1,1,2023-05-12,06:55,Motorcycle,28,52.48
"401 N Michigan Ave, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2142,77.0,1,1,2023-03-02,18:18,Motorcycle,24,37.35
"1 Googleplex, Mountain View, CA","1 Apple Park Way, Cupertino, CA",43,74.73,2,0,2023-03-16,09:28,Car/Trailer,25,1.26
"1600 Amphitheatre Parkway, Mountain View, CA","1 Infinite Loop, Cupertino, CA",43,69.03,2,1,2023-01-06,07:21,Truck,68,1.25
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,68.11,0,2,2023-11-02,07:59,SUV,27,52.72
"742 Evergreen Terrace, Springfield, IL","1600 Amphitheatre Parkway, Mountain View, CA",2171,72.88,1,2,2023-01-08,04:45,Car/Trailer,61,39.32
"333 Bush St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,73.0,2,1,2023-02-11,13:21,Semi-truck,55,3.41
"1600 Pennsylvania Ave NW, Washington, DC","350 5th Ave, New York, NY",226,70.83,1,1,2023-09-13,06:27,Truck,28,5.78
"2755 Station Club Dr, Suwanee, GA","350 5th Ave, New York, NY",754,69.25,1,1,2023-03-16,12:07,Semi-truck,44,14.57
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,71.2,3,0,2023-01-19,16:29,Semi-truck,56,48.58
"45 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,74.04,3,1,2023-06-22,19:53,Semi-truck,64,4.17
"721 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2887,73.72,0,2,2023-02-15,12:49,Car/Trailer,31,54.16
"742 Evergreen Terrace, Springfield, IL","1600 Amphitheatre Parkway, Mountain View, CA",2171,69.7,1,2,2023-10-29,21:18,Semi-truck,26,39.28
"701 5th Ave, Seattle, WA","233 S Wacker Dr, Chicago, IL",2065,78.67,1,2,2023-10-27,12:54,Truck,21,35.37
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,75.23,3,1,2023-07-22,11:11,Truck,65,3.9
"701 5th Ave, Seattle, WA","233 S Wacker Dr, Chicago, IL",2065,72.42,0,2,2023-06-10,06:42,Motorcycle,25,38.85
"30 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,75.51,1,2,2023-05-07,07:29,SUV,55,5.0
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,65.03,3,1,2023-11-23,21:54,Motorcycle,58,4.52
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,67.13,0,0,2023-06-08,08:02,Car/Trailer,45,5.26
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,64.1,1,0,2023-12-22,15:05,Car/Trailer,47,8.07
"1 Times Square, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,77.06,2,0,2023-10-27,13:55,Sedan,31,3.94
"701 5th Ave, Seattle, WA","233 S Wacker Dr, Chicago, IL",2065,70.62,1,1,2023-01-11,07:16,Truck,61,39.49
"721 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2887,74.37,0,1,2023-05-05,04:41,Car/Trailer,21,51.86
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,75.18,1,2,2023-09-15,20:41,Car/Trailer,28,52.29
"1500 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,67.45,1,2,2023-12-17,17:58,SUV,47,4.75
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,69.16,2,0,2023-12-02,11:58,SUV,23,52.3
"1600 Amphitheatre Parkway, Mountain View, CA","1 Infinite Loop, Cupertino, CA",43,67.61,1,0,2023-04-10,12:40,Car/Trailer,23,1.85
"1 Hacker Way, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,72.5,3,1,2023-12-22,12:50,SUV,69,3.65
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,68.88,2,0,2023-02-27,19:59,Truck,62,15.96
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,72.22,1,0,2023-12-30,18:13,Truck,40,52.4
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,71.9,0,0,2023-07-02,00:00,SUV,62,4.99
"1 Googleplex, Mountain View, CA","1 Apple Park Way, Cupertino, CA",43,74.12,3,2,2023-07-22,18:15,Sedan,21,2.48
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,74.01,1,0,2023-03-01,04:22,Sedan,44,52.84
"1500 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,74.75,1,2,2023-02-05,19:47,Motorcycle,41,5.68
"1600 Amphitheatre Parkway, Mountain View, CA","1 Infinite Loop, Cupertino, CA",43,71.68,2,0,2023-08-22,09:47,Car/Trailer,29,2.01
"1 Hacker Way, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,68.95,2,1,2023-09-03,03:04,Motorcycle,19,2.94
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,74.17,3,2,2023-03-01,19:36,Sedan,66,7.18
"500 Terry A Francois Blvd, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,70.38,0,2,2023-09-15,11:53,Semi-truck,67,3.27
